Array Length,Execution Time Merge Sort,Execution Time Insertion Sort
517,7839722,10007345
518,7861610,10086172
519,7881587,10160838
520,7901338,10237958
521,7921364,10315451
522,7941205,10390923
523,7961216,10469083
524,7981799,10545103
525,8001848,10621560
526,8023946,10701747
527,8044292,10778772
528,8064815,10861589
529,8086637,10945680
530,8106861,11025740
531,8129112,11118076
532,8149977,11201194
533,8171551,11284639
534,8194142,12471790
535,8216468,12553666
536,8239773,12636612
537,8263437,12717496
538,8284125,12799914
539,8305417,12884176
540,8327598,12990718
541,8349444,13079048
542,8372394,13164022
543,8406678,13252054
544,8437333,13338364
545,8462420,13423493
546,8483605,13506354
547,8523000,13589780
548,8546486,13687381
549,8569447,14022605
550,8592451,14109442
551,8614075,14194950
552,8636070,14286086
553,8659153,14381557
554,8691265,14473662
555,8723903,14564210
556,8754067,14656940
557,8779634,14755597
558,8803331,14846173
559,8826764,14938859
560,8849431,15029945
561,8872613,15121423
562,8896396,15212440
563,8919376,15303915
564,8942286,15396097
565,8965627,15488802
566,8988750,15612225
567,9016523,15709047
568,9049116,15807939
569,9078616,15902967
570,9102384,15996610
571,9125894,16091272
572,9152443,16925989
573,9177147,17028443
574,9202195,17176926
575,9229102,17273570
576,9252788,17368086
577,9277580,17718622
578,9302935,17815369
579,9329291,17913973
580,9353467,18011269
581,9377236,18104827
582,9403474,18202493
583,9429009,18303158
584,9456390,18403766
585,9479830,18502081
586,9503490,18600984
587,9527464,18700812
588,9551528,18800305
589,9579814,18901054
590,9608941,19005747
591,9635210,19107758
592,9658674,19219188
593,9685534,19328382
594,9709765,19432478
595,9736174,19534414
596,9859155,19636847
597,9884311,19745238
598,9912120,19858050
599,9936556,19966171
600,9966293,20075601
601,9991164,20182836
602,10016196,20292715
603,10042688,20405475
604,10066358,20522199
605,10093490,20640513
606,10120930,20746030
607,10145473,20852744
608,10170519,20961268
609,10195295,21070100
610,10230305,21185003
611,10256892,21296077
612,10281169,21406654
613,10306424,21521193
614,10330609,21631971
615,10358849,21747768
616,10384324,21863698
617,10413632,21974885
618,10437773,22085372
619,10464554,22195862
620,10490412,22309157
621,10514423,22415866
622,10544617,22536415
623,10570142,22649628
624,10594390,22757327
625,10618485,22865591
626,10642763,22976549
627,10667139,23085383
628,10691708,23194608
629,10718116,23309004
630,10742630,23424461
631,10766962,23542338
632,10792927,23666729
633,10818373,23782717
634,10846414,23899600
635,10873119,24014729
636,10900288,24124380
637,10926230,24248149
638,10952281,24369234
639,10977943,24494044
640,11003758,24610045
641,11030182,24730456
642,11057319,24852301
643,11082923,24974395
644,11111410,25092766
645,11135421,25210601
646,11159537,25325449
647,11188023,25447766
648,11212456,25562875
649,11241484,25682668
650,11266305,25804402
651,11292247,25927185
652,11317838,26058083
653,11345412,26181080
654,11372776,26308435
655,11398201,26445016
656,11424000,26565209
657,11452000,26686815
658,11478116,26809111
659,11506907,26937574
660,11533679,27061849
661,11561322,27186280
662,11587112,27310120
663,11614476,27439044
664,11642749,27562398
665,11677144,27691268
666,11717367,27821394
667,11754955,27940647
668,11795514,28065518
669,11835662,28199581
670,11873604,28325865
671,11912233,28451912
672,11952758,28576116
673,11989861,28697573
674,12024350,28819598
675,12059074,28947272
676,12099160,29072400
677,12138935,29200436
678,12179892,29326431
679,12218003,29449919
680,12255887,29578808
681,12293945,29708746
682,12333503,29839918
683,12373742,29970941
684,12419466,30108364
685,12457598,30234298
686,12496829,30361720
687,12540447,30498192
688,12583808,30640499
689,12624752,30775336
690,12663211,30907019
691,12703557,31043265
692,12743429,31177321
693,12786542,31316023
694,12826577,31457834
695,12868269,31599343
696,12911062,31739371
697,12954284,31881931
698,12997630,32022680
699,13039872,32164954
700,13082458,32307435
701,13123390,32452021
702,13166774,32592817
703,13209392,32736117
704,13251146,32878383
705,13293453,33021566
706,13337680,33166755
707,13380367,33309543
708,13421619,33455842
709,13461251,33597599
710,13506541,33743856
711,13546900,33883878
712,13590519,34030400
713,13630304,34166919
714,13670324,34303657
715,13720999,34453638
716,13763039,34594607
717,13812299,34750014
718,13854014,34890348
719,13895591,35043962
720,13938938,35203091
721,13980511,35347667
722,14026371,35504447
723,14069977,35649759
724,14119558,35807375
725,14261789,35957315
726,14293930,36109239
727,14325349,36269188
728,14355830,36429306
729,14384385,36586446
730,14416838,36737901
731,14446417,36892328
732,14477284,37045806
733,14507534,37200016
734,14537612,37354395
735,14567499,37513322
736,14599201,37668028
737,14635614,37825283
738,14666554,37982524
739,14697083,38139542
740,14727425,38297307
741,14758411,38453351
742,14801616,38613408
743,14843347,38778461
744,14873561,38937022
745,14904748,39096961
746,14936066,39259502
747,14966344,39422366
748,14998251,39583004
749,15028889,39751055
750,15062451,39908869
751,15092647,40069930
752,15129929,40232559
753,15160865,40395227
754,15191872,40558580
755,15222953,40722803
756,15253161,40890272
757,15290339,41058580
758,15322422,41224129
759,15352951,41397685
760,15384918,41566254
761,15416179,41730826
762,15448470,41914101
763,15479954,42081934
764,15511317,42249946
765,15543445,42418720
766,15575529,42586370
767,15607012,42754602
768,15638280,42924489
769,15669505,43094522
770,15701667,43264608
771,15734709,43437313
772,15767989,43607750
773,15802476,43781640
774,15837151,43954152
775,15869544,44127286
776,15903818,44302251
777,15936579,44476833
778,15971644,44652416
779,16004936,44827945
780,16038126,45003694
781,16077291,45181761
782,16112367,45358726
783,16146098,45535645
784,16178960,45714942
785,16211399,45893479
786,16244755,46070869
787,16277394,46248583
788,16310753,46428170
789,16342990,46606984
790,16376633,46786358
791,16411773,46966340
792,16445032,47147180
793,16478956,48248775
794,16513046,48429957
795,16546591,48611935
796,16580100,48794061
797,16614316,49992632
798,16648714,50174867
799,16682104,50359244
800,16715848,50543147
801,16749434,50727561
802,16784182,50913482
803,16822451,51261348
804,16857752,51468583
805,16892403,51655191
806,16926165,51841899
807,16960944,52028899
808,16994872,52217257
809,17029297,52406483
810,17063788,52596078
811,17098342,52784779
812,17132666,52975230
813,17166916,53165919
814,17201039,53355696
815,17235972,53546930
816,17269993,53745641
817,17305464,53938496
818,17340348,54132099
819,17374570,54325354
820,17408845,54519095
821,17443431,54712896
822,17478008,54907376
823,17512438,55101901
824,17547678,55342284
825,17588272,55608415
826,17622826,55805811
827,17658696,56006615
828,17693254,56203890
829,17728697,56402519
830,17763696,56600661
831,17798255,56807459
832,17833795,57006426
833,17869891,57206434
834,18022695,57406086
835,18058312,57608288
836,18094335,57809265
837,18129326,58011384
838,18166769,58218034
839,18203153,58421162
840,18239329,58625649
841,18274588,58831449
842,18309739,59035237
843,18345333,59239155
844,18385612,59449394
845,18419924,59653314
846,18455037,59867018
847,18490625,60071297
848,18525438,60274443
849,18561233,60482051
850,18597262,60689826
851,18634098,60900665
852,18669060,61108069
853,18704375,61320924
854,18739050,61529692
855,18776549,61735982
856,18811324,61945510
857,18846108,62150490
858,18885525,62368246
859,18922266,62575227
860,18958994,62785156
861,18995989,63000936
862,19036142,63211990
863,19071366,63430312
864,19105341,63640938
865,19142414,63848462
866,19177553,64055380
867,19215656,64260742
868,19250600,64471613
869,19288054,64677156
870,19327933,64886865
871,19362688,65090264
872,19396936,65309459
873,19432108,65529781
874,19466173,65738886
875,19504320,65955282
876,19539292,66169056
877,19576756,66385560
878,19612718,66603111
879,19651003,66819315
880,19688745,67045994
881,19725105,67272108
882,19761150,67498436
883,19798113,67720217
884,19835393,67957833
885,19874277,68185853
886,19914383,68405718
887,19956413,68645213
888,19993526,68881284
889,20037705,69125883
890,20076103,69354273
891,20120505,69584437
892,20158007,69814494
893,20195601,70043801
894,20232873,70270817
895,20271084,70501076
896,20307593,70728394
897,20345786,70955462
898,20383799,71179503
899,20420673,71404959
900,20457119,71633870
901,20494782,71865868
902,20533248,72092079
903,20570306,72326472
904,20608370,72557904
905,20646730,72787879
906,20684419,73017637
907,20721899,73248004
908,20761607,73484882
909,20799160,73713950
910,20838363,73947676
911,20876116,74174537
912,20912947,74400036
913,20949073,74627992
914,20985268,74856144
915,21021085,75086229
916,21057092,75313092
917,21093955,75540753
918,21130257,75768196
919,21166180,75994369
920,21203228,76223897
921,21239432,76450902
922,21275865,76678490
923,21312075,76906600
924,21348399,77135441
925,21384910,77364349
926,21514586,77598674
927,21553216,77830115
928,21589970,78060750
929,21626684,78291851
930,21663548,78523041
931,21700603,78758882
932,21737548,78991406
933,21777668,79229255
934,21814870,79466682
935,21852014,79700774
936,21888705,79935295
937,21925939,80169910
938,21962770,80405230
939,21999867,80641019
940,22036911,80879485
941,22073832,81116331
942,22110967,81353676
943,22148135,81591761
944,22186182,81831100
945,22223420,82070115
946,22261118,82309409
947,22298511,82549504
948,22336856,82791066
949,22374165,83032126
950,22411672,83273554
951,22449133,83515309
952,22486630,83757809
953,22524633,84000872
954,22562362,84247498
955,22600244,84495509
956,22637720,84739874
957,22675397,84984833
958,22713200,85230385
959,22751187,85478867
960,22788785,85725401
961,22826579,85972413
962,22864599,86224577
963,22902673,86472700
964,22940714,86721173
965,22979296,86970094
966,23017094,87219837
967,23055334,87470011
968,23093673,87720766
969,23131736,87976312
970,23169784,88227902
971,23213948,88518385
972,23253789,88777418
973,23301401,89046653
974,23342042,89303061
975,23380799,89561216
976,23419387,89818285
977,23458311,90075966
978,23497368,90332531
979,23542844,90606640
980,23581570,90863253
981,23620741,91120365
982,23659817,91384359
983,23698868,91642601
984,23738158,91905439
985,23777427,92164499
